variant,entry_date,exit_date,days_held,entry_open,exit_open,trade_return
ANT_pup60,2006-04-10,2006-07-10,63,89.4427,87.8992,-0.017257
ANT_pup60,2006-11-03,2006-11-27,16,95.4702,97.5636,0.021927
ANT_pup60,2006-11-28,2006-12-08,9,96.1448,98.1548,0.020906
ANT_pup60,2007-01-04,2007-01-26,16,98.7716,99.7088,0.009488
ANT_pup60,2007-01-29,2007-02-09,10,99.443,101.4501,0.020184
ANT_pup60,2007-02-13,2007-02-22,7,100.548,102.1426,0.015859
ANT_pup60,2007-03-20,2007-03-29,8,98.3559,100.0831,0.017561
ANT_pup60,2007-06-07,2007-07-23,32,106.4164,108.7227,0.021672
ANT_pup60,2007-08-09,2007-08-28,14,103.9628,103.0672,-0.008614
ANT_pup60,2007-10-17,2007-12-12,40,109.8052,107.0279,-0.025293
ANT_pup60,2007-12-19,2008-04-10,77,103.4002,96.9335,-0.062541
ANT_pup60,2008-04-14,2008-04-22,7,95.3373,98.9162,0.03754
ANT_pup60,2008-05-22,2008-08-13,58,99.8038,92.6489,-0.07169
ANT_pup60,2008-08-20,2008-11-06,56,91.6417,68.3459,-0.254206
ANT_pup60,2008-11-10,2008-12-10,22,68.8886,65.3504,-0.051361
ANT_pup60,2008-12-23,2009-01-06,9,63.8459,68.3026,0.069804
ANT_pup60,2009-01-12,2009-03-23,49,64.8014,57.8454,-0.107344
ANT_pup60,2009-05-22,2009-07-28,46,65.7206,72.15,0.097828
ANT_pup60,2009-08-18,2010-03-16,145,72.7927,86.4293,0.187335
ANT_pup60,2010-04-28,2010-06-22,39,89.2132,83.8852,-0.059722
ANT_pup60,2010-06-28,2010-07-30,24,81.3402,82.1986,0.010553
ANT_pup60,2010-08-12,2010-09-24,31,81.0541,86.1056,0.062322
ANT_pup60,2010-11-18,2010-12-16,20,90.3522,94.0008,0.040382
ANT_pup60,2011-01-31,2011-07-12,113,97.4553,101.1442,0.037853
ANT_pup60,2011-07-19,2011-07-25,5,100.8754,102.3808,0.014923
ANT_pup60,2011-08-25,2011-09-06,8,91.1903,87.857,-0.036554
ANT_pup60,2011-09-07,2011-09-20,10,91.2134,93.2756,0.022609
ANT_pup60,2011-09-28,2011-11-02,26,90.9287,95.5994,0.051367
ANT_pup60,2011-11-10,2012-01-13,44,96.3406,99.9427,0.03739
ANT_pup60,2012-03-07,2012-09-21,139,104.9305,115.6334,0.102
ANT_pup60,2012-09-27,2012-12-11,51,113.4649,112.8103,-0.005769
ANT_pup60,2012-12-27,2013-01-09,9,112.6019,115.842,0.028775
ANT_pup60,2013-02-22,2013-03-19,18,120.0351,123.8794,0.032026
ANT_pup60,2013-04-04,2013-04-15,8,123.983,126.0331,0.016535
ANT_pup60,2013-04-16,2013-05-02,13,124.669,126.5754,0.015292
ANT_pup60,2013-06-03,2013-07-30,41,130.6835,135.601,0.037629
ANT_pup60,2013-08-13,2013-09-25,31,135.8496,136.6971,0.006238
ANT_pup60,2013-10-01,2013-11-06,27,135.4884,142.652,0.052873
ANT_pup60,2013-12-06,2014-01-03,19,145.5852,148.4496,0.019675
ANT_pup60,2014-01-14,2014-03-12,40,147.688,150.9531,0.022108
ANT_pup60,2014-03-14,2014-06-13,64,149.7621,157.8039,0.053697
ANT_pup60,2014-07-18,2014-09-05,35,160.5469,163.6704,0.019455
ANT_pup60,2014-09-15,2014-12-01,55,162.8446,169.5533,0.041197
ANT_pup60,2014-12-12,2014-12-31,13,166.4645,171.8025,0.032067
ANT_pup60,2015-01-08,2015-03-02,36,168.5149,174.1071,0.033185
ANT_pup60,2015-03-10,2015-07-22,94,170.7452,175.8599,0.029955
ANT_pup60,2015-07-27,2015-10-07,52,172.5333,166.6923,-0.033855
ANT_pup60,2015-11-17,2016-02-24,67,172.6341,160.7122,-0.069059
ANT_pup60,2016-04-12,2016-07-22,72,173.0574,184.3409,0.065201
ANT_pup60,2016-08-26,2016-11-17,59,185.6271,186.6761,0.005651
ANT_pup60,2017-01-03,2017-03-07,44,193.7959,204.4054,0.054746
ANT_pup60,2017-03-29,2017-05-01,23,203.2449,206.4363,0.015702
ANT_pup60,2017-05-19,2017-06-07,13,205.2687,210.6917,0.026419
ANT_pup60,2017-06-28,2017-07-18,14,210.7631,212.9881,0.010557
ANT_pup60,2017-08-15,2017-09-25,29,214.6568,217.6175,0.013793
ANT_pup60,2017-11-16,2018-01-02,31,224.9281,235.1378,0.045391
ANT_pup60,2018-02-16,2018-02-28,8,239.0708,242.0206,0.012339
ANT_pup60,2018-03-02,2018-03-15,10,233.3468,242.1962,0.037924
ANT_pup60,2018-03-20,2018-04-23,24,238.812,235.5684,-0.013582
ANT_pup60,2018-04-25,2018-05-16,16,231.7342,238.9883,0.031304
ANT_pup60,2018-05-30,2018-06-08,8,238.4242,244.0212,0.023475
ANT_pup60,2018-06-22,2018-07-23,21,244.0634,247.419,0.013749
ANT_pup60,2018-08-14,2018-08-31,14,250.4912,256.6179,0.024459
ANT_pup60,2018-10-05,2018-11-12,27,257.6462,246.529,-0.043149
ANT_pup60,2018-11-13,2019-01-29,51,242.8825,236.0975,-0.027935
ANT_pup60,2019-03-08,2019-06-26,77,244.1666,263.4181,0.078846
ANT_pup60,2019-08-01,2019-09-10,28,268.7001,268.4834,-0.000807
ANT_pup60,2019-09-30,2019-11-06,28,268.4625,278.4946,0.037369
ANT_pup60,2019-12-04,2019-12-31,19,281.8235,292.1693,0.03671
ANT_pup60,2020-01-28,2020-02-10,10,296.2985,301.9226,0.018981
ANT_pup60,2020-03-27,2020-04-22,18,232.218,255.2134,0.099025
ANT_pup60,2020-05-14,2020-06-05,16,255.7635,290.8617,0.137229
ANT_pup60,2020-06-12,2021-04-21,216,282.6189,383.3557,0.35644
ANT_pup60,2021-05-12,2021-07-09,41,383.0949,404.2558,0.055237
ANT_pup60,2021-07-20,2021-07-28,7,397.8536,410.9384,0.032888
ANT_pup60,2021-08-19,2021-11-11,60,407.7514,436.1925,0.069751
ANT_pup60,2021-11-30,2022-04-06,89,433.1828,421.7936,-0.026292
ANT_pup60,2022-04-14,2022-06-01,33,418.6412,391.855,-0.063984
ANT_pup60,2022-06-10,2022-07-25,30,372.7044,375.139,0.006532
ANT_pup60,2022-08-23,2022-10-28,48,391.3959,361.5652,-0.076216
ANT_pup60,2022-11-04,2022-11-17,10,358.8336,371.645,0.035703
ANT_pup60,2022-12-07,2023-02-06,41,374.0055,391.8345,0.047671
ANT_pup60,2023-02-21,2023-04-05,32,385.3995,391.5256,0.015895
ANT_pup60,2023-04-26,2023-06-21,39,390.3834,420.196,0.076367
ANT_pup60,2023-08-03,2023-11-10,71,431.6411,421.5041,-0.023485
ANT_pup60,2024-01-05,2024-01-25,14,453.8003,473.302,0.042974
ANT_pup60,2024-04-05,2024-05-24,36,500.9465,513.9848,0.026027
ANT_pup60,2024-05-31,2024-06-25,17,509.8367,531.4097,0.042314
ANT_pup60,2024-07-22,2024-09-04,32,540.2113,537.476,-0.005063
ANT_pup60,2024-09-06,2024-10-02,19,537.2221,556.2822,0.035479
ANT_pup60,2024-11-06,2024-11-15,8,577.3397,577.8492,0.000883
ANT_pup60,2024-12-24,2025-01-28,22,586.0273,590.5106,0.00765
ANT_pup60,2025-02-24,2025-05-22,63,591.887,574.5761,-0.029247
ANT_pup60,2025-08-04,2025-10-31,64,618.8133,679.4112,0.097926
