Date,Open,Close,sma_20,mad,sigma,z,regime,days_in,p_up,base_p_up,price_vel_5,dmad_5,mad_price_contrib_5,mad_sma_contrib_5,price_share_5,sig_cross_up,sig_rollback
2022-10-31,367.8187,367.5997,353.8908,3.7293,3.3238,1.122,2.0,2.0,0.0621,0.1594,0.019373,0.5235,1.8296,-1.3161,0.5816,False,False
2022-11-01,371.3404,365.9911,354.2025,3.221,3.3268,0.9682,1.0,1.0,0.5186,0.2928,-0.001039,-1.2264,-0.1007,-1.127,-0.082,False,True
2022-11-02,365.4011,356.8062,354.0969,0.7593,3.3194,0.2288,1.0,2.0,0.1604,0.2928,-0.018716,-2.8123,-1.8928,-0.9731,-0.6605,False,False
2022-11-03,353.57,353.1321,353.9926,-0.2437,3.3112,-0.0736,-1.0,1.0,0.8483,0.7191,-0.023607,-3.0715,-2.4236,-0.7221,-0.7705,False,False
2022-11-04,358.8336,358.2149,354.638,0.9985,3.3053,0.3021,1.0,1.0,0.1813,0.2888,-0.032569,-3.6781,-3.3329,-0.469,-0.8766,True,False
2022-11-07,359.5094,361.6415,355.5865,1.6743,3.3007,0.5073,1.0,2.0,0.2637,0.2888,-0.016209,-2.055,-1.62,-0.4689,-0.7755,False,False
2022-11-08,362.7455,363.5926,356.741,1.8844,3.2955,0.5718,1.0,3.0,0.2941,0.2888,-0.006554,-1.3366,-0.6472,-0.6982,-0.4811,False,False
2022-11-09,361.6224,356.1019,357.5772,-0.4143,3.2855,-0.1261,-1.0,1.0,0.8339,0.7191,-0.001974,-1.1736,-0.1986,-0.9773,-0.1689,False,False
2022-11-10,369.3511,375.6711,358.944,4.4526,3.2915,1.3528,2.0,1.0,0.1271,0.1554,0.063826,4.6963,5.7325,-1.318,0.8131,False,False
2022-11-11,376.5277,379.307,360.8895,4.8556,3.3014,1.4708,2.0,2.0,0.1834,0.1554,0.058881,3.857,5.2907,-1.6481,0.7625,False,False
2022-11-14,377.5462,376.0804,362.2363,3.6812,3.3071,1.1131,2.0,3.0,0.057,0.1554,0.039926,2.0069,3.698,-1.7682,0.6765,False,False
2022-11-15,381.8198,379.288,363.5384,4.1524,3.3187,1.2512,2.0,4.0,0.0912,0.1554,0.043167,2.268,3.9663,-1.7921,0.6888,False,False
2022-11-16,377.6604,376.3945,364.8209,3.0748,3.3252,0.9247,1.0,1.0,0.4809,0.2829,0.056985,3.4891,5.2255,-1.9245,0.7308,False,True
2022-11-17,371.645,375.2428,366.193,2.4117,3.3277,0.7247,1.0,2.0,0.367,0.2829,-0.00114,-2.0409,-0.1114,-1.9318,-0.0545,False,False
2022-11-18,378.5742,376.9466,367.2276,2.5783,3.3313,0.774,1.0,3.0,0.3942,0.2829,-0.006223,-2.2772,-0.61,-1.6814,-0.2662,False,False
